代號,名稱,交易標的,標的代號
BRF,布蘭特原油期貨,布蘭特原油(Brent Crude Oil),
BTF,臺灣生技期貨,臺灣指數公司臺灣上市上櫃生技醫療指數,TWA5T
CAF,南亞期貨,南亞,1303
CBF,中鋼期貨,中鋼,2002
CCF,聯電期貨,聯電,2303
CDF,台積電期貨,台積電,2330
CEF,富邦金期貨,富邦金,2881
CFF,台塑期貨,台塑,1301
CGF,仁寶期貨,仁寶,2324
CHF,友達期貨,友達,2409
CJF,華南金期貨,華南金,2880
CKF,國泰金期貨,國泰金,2882
CLF,兆豐金期貨,兆豐金,2886
CMF,台新金期貨,台新金,2887
CNF,中信金期貨,中信金,2891
CQF,統一期貨,統一,1216
CRF,遠東新期貨,遠東新,1402
CSF,華新期貨,華新,1605
CUF,中環期貨,中環,2323
CWF,佳世達期貨,佳世達,2352
CXF,大同期貨,大同,2371
CYF,南亞科期貨,南亞科,2408
CZF,長榮期貨,長榮,2603
DAF,陽明期貨,陽明,2609
DBF,華航期貨,華航,2610
DCF,彰銀期貨,彰銀,2801
DDF,新光金期貨,新光金,2888
DEF,永豐金期貨,永豐金,2890
DFF,台泥期貨,台泥,1101
DGF,台化期貨,台化,1326
DHF,鴻海期貨,鴻海,2317
DIF,旺宏期貨,旺宏,2337
DJF,華碩期貨,華碩,2357
DKF,廣達期貨,廣達,2382
DLF,中華電期貨,中華電,2412
DNF,玉山金期貨,玉山金,2884
DOF,元大金期貨,元大金,2885
DPF,第一金期貨,第一金,2892
DQF,群創期貨,群創,3481
DSF,宏碁期貨,宏碁,2353
DVF,聯發科期貨,聯發科,2454
DWF,潤泰全期貨,潤泰全,2915
DXF,緯創期貨,緯創,3231
DYF,亞泥期貨,亞泥,1102
DZF,大成期貨,大成,1210
E4F,臺灣永續期貨,FTSE4GOOD臺灣指數公司臺灣永續指數,TWA5W
EEF,國喬期貨,國喬,1312
EGF,中石化期貨,中石化,1314
EHF,東陽期貨,東陽,1319
EKF,南紡期貨,南紡,1440
EMF,東元期貨,東元,1504
EPF,亞德客-KY期貨,亞德客-KY,1590
EYF,中纖期貨,中纖,1718
EZF,台肥期貨,台肥,1722
F1F,英國富時100期貨,英國富時100指數,
FBF,東和鋼鐵期貨,東和鋼鐵,2006
FCF,中鴻期貨,中鴻,2014
FEF,大成鋼期貨,大成鋼,2027
FFF,上銀期貨,上銀,2049
FGF,川湖期貨,川湖,2059
FKF,正新期貨,正新,2105
FNF,裕隆期貨,裕隆,2201
FQF,光寶科期貨,光寶科,2301
FRF,台達電期貨,台達電,2308
FSF,金寶期貨,金寶,2312
FTF,華通期貨,華通,2313
FTX,Eurex臺股期貨,於TAIFEX掛牌的臺股期貨契約,TXF
FVF,精英期貨,精英,2331
FWF,友訊期貨,友訊,2332
FYF,台亞期貨,台亞,2340
FZF,華邦電期貨,華邦電,2344
G2F,富櫃200期貨,櫃買富櫃200指數,TWC56
GAF,聯強期貨,聯強,2347
GCF,鴻準期貨,鴻準,2354
GDF,黃金期貨,成色千分之九九五之黃金,
GHF,技嘉期貨,技嘉,2376
GIF,微星期貨,微星,2377
GJF,瑞昱期貨,瑞昱,2379
GKF,群光期貨,群光,2385
GLF,正崴期貨,正崴,2392
GMF,億光期貨,億光,2393
GNF,凌陽期貨,凌陽,2401
GOF,漢唐期貨,漢唐,2404
GRF,京元電子期貨,京元電子,2449
GTF,櫃買期貨,財團法人中華民國證券櫃檯買賣中心發行量加權股價指數,TWC00
GUF,全新期貨,全新,2455
GVF,飛宏期貨,飛宏,2457
GWF,義隆期貨,義隆,2458
GXF,可成期貨,可成,2474
GYF,強茂期貨,強茂,2481
GZF,兆赫期貨,兆赫,2485
HAF,瑞軒期貨,瑞軒,2489
HBF,華新科期貨,華新科,2492
HCF,宏達電期貨,宏達電,2498
HHF,中工期貨,中工,2515
HIF,冠德期貨,冠德,2520
HLF,興富發期貨,興富發,2542
HMTF,香港摩台期指,MSCI台灣指數,#TAMSCI
HOF,華固期貨,華固,2548
HQF,新興期貨,新興,2605
HSF,長榮航期貨,長榮航,2618
IAF,臺企銀期貨,臺企銀,2834
IHF,農林期貨,農林,2913
IIF,晶豪科期貨,晶豪科,3006
IJF,大立光期貨,大立光,3008
IMF,亞光期貨,亞光,3019
IOF,聯詠期貨,聯詠,3034
IPF,智原期貨,智原,3035
IQF,文曄期貨,文曄,3036
IRF,欣興期貨,欣興,3037
ITF,晶技期貨,晶技,3042
IXF,景碩期貨,景碩,3189
IYF,新日興期貨,新日興,3376
IZF,明泰期貨,明泰,3380
JBF,創意期貨,創意,3443
JFF,嘉澤期貨,嘉澤,3533
JMF,健策期貨,健策,3653
JNF,TPK-KY期貨,TPK-KY,3673
JPF,大聯大期貨,大聯大,3702
JSF,和碩期貨,和碩,4938
JWF,長虹期貨,長虹,5534
JXF,群益證期貨,群益證,6005
JZF,嘉聯益期貨,嘉聯益,6153
KAF,瑞儀期貨,瑞儀,6176
KBF,聯茂期貨,聯茂,6213
KCF,力成期貨,力成,6239
KDF,同欣電期貨,同欣電,6271
KEF,台表科期貨,台表科,6278
KFF,康舒期貨,康舒,6282
KGF,啟碁期貨,啟碁,6285
KIF,台虹期貨,台虹,8039
KKF,達方期貨,達方,8163
KLF,寶成期貨,寶成,9904
KOF,宏全期貨,宏全,9939
KPF,潤泰新期貨,潤泰新,9945
KSF,聚陽期貨,聚陽,1477
KUF,台玻期貨,台玻,1802
KWF,廣宇期貨,廣宇,2328
LBF,健鼎期貨,健鼎,3044
LCF,台灣大期貨,台灣大,3045
LEF,玉晶光期貨,玉晶光,3406
LIF,台郡期貨,台郡,6269
LMF,美利達期貨,美利達,9914
LOF,合庫金期貨,合庫金,5880
LQF,英業達期貨,英業達,2356
LRF,凱基金期貨,凱基金,2883
LTF,遠傳期貨,遠傳,4904
LUF,臻鼎-KY期貨,臻鼎-KY,4958
LVF,中租-KY期貨,中租-KY,5871
LWF,儒鴻期貨,儒鴻,1476
LXF,國巨期貨,國巨,2327
LYF,南電期貨,南電,8046
M1F,臺灣中型100期貨,富時臺灣證券交易所臺灣中型100指數,TWA51
MAF,葡萄王期貨,葡萄王,1707
MBF,敬鵬期貨,敬鵬,2355
MJF,致茂期貨,致茂,2360
MKF,美律期貨,美律,2439
MQF,矽格期貨,矽格,6257
MTXF,小型臺指,臺灣證券交易所發行量加權股價指數,TWA00
MVF,百和期貨,百和,9938
MYF,精華期貨,精華,1565
NAF,穩懋期貨,穩懋,3105
NBF,璟德期貨,璟德,3152
NDF,威剛期貨,威剛,3260
NEF,欣銓期貨,欣銓,3264
NGF,碩禾期貨,碩禾,3691
NIF,晟德期貨,晟德,4123
NJF,榮剛期貨,榮剛,5009
NLF,世界期貨,世界,5347
NMF,中光電期貨,中光電,5371
NOF,中美晶期貨,中美晶,5483
NQF,新普期貨,新普,6121
NSF,頎邦期貨,頎邦,6147
NUF,網家期貨,網家,8044
NVF,元太期貨,元太,8069
NWF,群聯期貨,群聯,8299
NYF,元大台灣50ETF期貨,元大台灣50ETF,50
OAF,富邦上証ETF期貨,富邦上証ETF,6205
OBF,元大上證50ETF期貨,元大上證50ETF,6206
ODF,為升期貨,為升,2231
OEF,彩晶期貨,彩晶,6116
OHF,胡連期貨,胡連,6279
OJF,國泰中國A50ETF期貨,國泰中國A50ETF,636
OKF,富邦深100ETF期貨,富邦深100ETF,639
OOF,群益深証中小ETF期貨,群益深証中小ETF,643
OPF,智邦期貨,智邦,2345
OQF,樺漢期貨,樺漢,6414
ORF,和大期貨,和大,1536
OSF,榮成期貨,榮成,1909
OTF,聯亞期貨,聯亞,3081
OUF,同致期貨,同致,3552
OVF,台燿期貨,台燿,6274
OWF,環球晶期貨,環球晶,6488
OXF,精測期貨,精測,6510
OZF,日月光投控期貨,日月光投控,3711
PAF,原相期貨,原相,3227
